IDLocator,L_Route,L_Dir,L_Lane,L_Section
9595,150_5,5,1,137560
9596,2684-RAB4,5,1,136990
9597,2684-RAB4,5,2,136995
9598,150-RAB2,5,1,137550
9599,150_6,6,1,136850
9600,150,5,2,137535
9601,150-RAB2,5,2,137555
9602,150_5,5,2,137565
9603,150_6,6,2,136855
9604,150-RAB1,5,1,137540
9605,150-RAB1,5,2,137545
9606,2807_6-4,5,3,137837
9607,6832_5,5,2,138215
9608,6832_6,6,2,138185
9609,4931_5,5,1,137950
9610,8770_5,5,1,138130
9611,8770_6,6,1,137430
9612,8770_5,5,2,138135
9613,8770_6,6,2,137435
9614,4931_6,6,1,137280
9615,4931_5,5,2,137955
9616,454_5,5,1,137890
9617,454,5,2,137885
9618,454,5,1,137880
9619,454_6,6,1,137220
9620,454_5,5,2,137895
9621,454_6,6,2,137225
9622,4929_5-1,5,1,137930
9623,4929_6-3,5,1,137260
9624,6759_3,5,2,152635
9625,6759_4,5,2,152655
9626,6759_5,5,2,151805
9627,6759_6,5,2,152645
9628,4929_5-1,5,2,137935
9629,6759_3,5,1,152630
9630,6759_4,5,1,152650
9631,6759_5,5,1,151800
9632,6759_6,5,1,152640
9633,454_5-2,5,1,137910
9634,454_6-1,5,1,137230
9635,6754_5,5,1,138090
9636,6754_6,6,1,137390
9637,454_6-1,5,2,137235
9638,6754_5,5,2,138095
9639,6754_6,6,2,137395
9640,6754_6-1,5,1,137400
9641,6754_5,5,3,138097
9642,6754_6,6,3,137397
9643,454_5-1,5,1,137900
9644,4929_5-2,5,1,137940
9645,4929_6-4,5,1,137270
9646,454_5-1,5,2,137905
9647,4929_6-4,5,2,137275
9648,4929_6-1_1,5,1,151820
9649,4929_6-1_2,5,1,151790
9650,4931_5,5,3,137957
9651,4931_5-2,5,1,137970
9652,4931_5-2,5,2,137975
9653,4931_5-2,5,3,137977
9654,4931_6,6,2,137285
9655,6703_5-1_1,5,2,151405
9656,6703_5-1_2,5,2,151445
9657,6703_5-10_2,5,2,151685
9658,6703_5-10_3,5,2,151705
9659,6703_5-10_4,5,2,151715
9660,6703_5-16_3,5,2,151775
9661,6703_5-5_1,5,2,151475
9662,6703_5-5_2,5,2,151505
9663,6703_5-5_4,5,2,151535
9664,6703_5-9,5,2,138075
9665,6703_6-2,5,2,151395
9666,6703_5-1_3,5,1,151460
9667,6703_5-10_2,5,1,151680
9668,6703_5-10_3,5,1,151700
9669,6703_5-10_4,5,1,151710
9670,6703_5-10_5,5,2,151735
9671,6703_5-5_2,5,1,151500
9672,6703_5-5_3,5,1,151510
9673,6703_5-5_4,5,1,151530
9674,6703_5-6,5,1,151480
9675,6703_5-7,5,1,151490
9676,6703_5-8,5,1,151520
9677,6703_5-5_3,5,2,151515
9678,2684-RAB1,5,1,136980
9679,2684_5,5,1,137630
9680,2684_6,6,1,137030
9681,2684-RAB1,5,2,136985
9682,2684_5,5,2,137635
9683,2684_6,6,2,137035
9684,5351_1,5,1,139545
9685,5339_1,5,1,138480
9686,5336_1,5,1,138600
9687,5341_2,5,1,138430
9688,5334_1,5,1,138790
9689,5352_1,6,1,138960
9690,5352_1,5,1,139455
9691,5341_2,6,1,139425
9692,5336_1,6,1,139395
9693,5335_1,6,1,139665
9694,5337_1,5,1,138660
9695,5337_1,6,1,139095
9696,5339_1,6,1,139245
9697,5335_1,5,1,138750
9698,5334_1,6,1,139835
9699,5333_1,6,1,140085
9700,5333_1,5,1,138620
9701,5329_1,5,1,138630
9702,5324_1,5,1,138640
9703,5328_1,5,1,138680
9704,5327,5,1,138720
9705,5330_1,5,1,138770
9706,5634,5,1,139020
9707,5326_1,5,1,139410
9708,5316_1,5,1,140400
9709,5329_1,6,1,138675
9710,5327,6,1,138725
9711,5328_1,6,1,138875
9712,5326_1,6,1,138895
9713,5635_1,6,1,138925
9714,5330_1,6,1,138955
9715,5324_1,6,1,139505
9716,5316_1,6,1,140715
9717,5320_1,6,1,140415
9718,5320_1,5,1,139150
9719,5319_1,5,1,139360
9720,5319_1,6,1,140545
9721,5338_1,5,1,139380
9722,5315_1,5,1,139470
9723,5338_1,6,1,139495
9724,5315_1,6,1,141385
9725,5313_1,5,1,138650
9726,5325_1,5,1,139080
9727,5336-1,5,1,139270
9728,5336-1,6,1,139275
9729,5325_1,6,1,139965
9730,5313_1,6,1,141945
9731,5340,5,1,138810
9732,5347_1,6,1,138475
9733,5340,6,1,138815
9734,5347_1,5,1,138460
9735,2687_6,6,2,137055
9736,5318_1,5,1,138530
9737,5318_1,6,1,139595
9738,5308_1,5,1,139990
9739,5308_1,6,1,140675
9740,5309,6,1,140045
9741,5309,5,1,140040
9742,5305_1,5,1,140130
9743,5305_1,6,1,140395
9744,5306_1,6,1,140615
9745,5306_1,5,1,140340
9746,5304_1,5,1,141020
9747,5304_1,6,1,141485
9748,5310_1,5,1,140300
9749,5314_1,5,1,140560
9750,5310_1,6,1,140305
9751,5314_1,6,1,141245
9752,5307_1,6,1,141625
9753,5317_1,5,1,139970
9754,5317_1,6,1,140235
9755,5286_1,5,1,143880
9756,5286_1,6,1,144485
9757,5307_1,5,1,140760
9758,5301_1,5,1,140840
9759,5303_1,5,1,140960
9760,5303_1,6,1,141715
9761,5301_1,6,1,144345
9762,5300_1,5,1,141220
9763,5300_1,6,1,141965
9764,5636_1,5,1,140990
9765,5637,6,1,140975
9766,5302,5,1,141600
9767,5302,6,1,141605
9768,292-2_1,5,1,141800
9769,5292-1,5,1,141920
9770,5292_1,5,1,142040
9771,292-2_1,6,1,141825
9772,5292-1,6,1,141925
9773,5292_1,6,1,141995
9774,5293_1,5,1,142030
9775,5293_1,6,1,143295
9776,5270,5,1,138010
9777,5291_1,5,1,142840
9778,291-2_1,5,1,142960
9779,5291-1,5,1,142970
9780,5290,5,1,143180
9781,5289_3,5,1,143280
9782,5270,6,1,138015
9783,5291_1,6,1,142855
9784,5291-1,6,1,142975
9785,291-2_1,6,1,143095
9786,5290,6,1,143185
9787,5288_1,5,1,144140
9788,5280_1,5,1,144350
9789,5289_3,6,1,143675
9790,5288_1,6,1,144165
9791,5280_1,6,1,145355
9792,5286-1,5,1,143950
9793,5286-1,6,1,143955
9794,5348_1,5,1,138390
9795,5632,5,1,138580
9796,5584,5,1,138700
9797,5348_1,6,1,138325
9798,5633_1,6,1,138515
9799,5584,6,1,138705
9800,5346_1,5,1,138980
9801,5346_1,6,1,139145
9802,5345,5,1,139100
9803,5345,6,1,139105
9804,5349_1,5,1,138260
9805,5351_7,6,1,138290
9806,5350_1,5,1,138370
9807,5344_1,5,1,139720
9808,5349_1,6,1,139715
9809,5350_1,6,1,139735
9810,5344_1,6,1,139725
9811,5343_1,5,1,138270
9812,5343_1,6,1,138405
9813,155_1,5,1,139890
9814,154_1,5,1,141310
9815,156_1,6,1,140480
9816,155_1,6,1,139895
9817,156_1,5,1,140485
9818,154_1,6,1,141315
9819,278_1,5,1,140170
9820,5403,5,1,140200
9821,278_1,6,1,140175
9822,5403,6,1,140205
9823,5351-1,6,1,139625
9824,277_1,5,1,140210
9825,279_1,5,1,140380
9826,277_1,6,1,140215
9827,279_1,6,1,140385
9828,280,5,1,140460
9829,280,6,1,140465
9830,5173_1,6,1,140645
9831,5341_6,5,1,139520
9832,5335_5,5,1,139690
9833,5342-2,5,1,139800
9834,5342_1,5,1,139810
9835,5322-3,5,1,139860
9836,5342-3_1,5,1,139900
9837,5322_1,5,1,139920
9838,5342-1,5,1,140010
9839,5322-2,5,1,140160
9840,149_1,5,1,140250
9841,5322-4,5,1,140280
9842,5341_6,6,1,139525
9843,5335_5,6,1,139695
9844,5342-2,6,1,139805
9845,5342_1,6,1,139815
9846,5322-3,6,1,139865
9847,5322_1,6,1,139925
9848,5342-1,6,1,140015
9849,5322-1,6,1,140105
9850,149_1,6,1,140255
9851,5322-4,6,1,140285
9852,5333-1,5,1,140220
9853,5333-1,6,1,140225
9854,275_1,5,1,140570
9855,274,5,1,140780
9856,273_1,5,1,141060
9857,139,5,1,141890
9858,143,5,1,142480
