rsection,rbeg_chg,rend_chg,rlength,rdir,BEGLAT,BEGLONG,ENDLAT,ENDLONG,loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10
624123,1.154,1.232,0.078,5,0.430424675,0.955808691,0.430434733,0.955816274,649_4,5,3,624123,,,,,,
624123,1.232,1.612,0.38,5,0.430434733,0.955816274,0.430484076,0.955853464,649_5,5,3,624123,,,,,,
624123,1.612,2.036,0.424,5,0.430484076,0.955853464,0.430538504,0.955895878,649_6,5,3,624123,,,,,,
624123,2.036,2.299,0.263,5,0.430538504,0.955895878,0.4305713,0.955923526,649_7,5,3,624123,,,,,,
624123,2.299,2.561,0.262,5,0.4305713,0.955923526,0.430603968,0.95595108,649_8,5,3,624123,,,,,,
624123,2.561,2.976,0.415,5,0.430603968,0.95595108,0.430655837,0.955994762,649_9,5,3,624123,,,,,,
624123,2.976,3.36,0.384,5,0.430655837,0.955994762,0.430713127,0.956009914,649_10,5,3,624123,,,,,,
624123,3.36,3.435,0.075,5,0.430713127,0.956009914,0.430724908,0.956010273,649_11,5,3,624123,,,,,,
624123,3.435,3.506,0.071,5,0.430724908,0.956010273,0.430736052,0.956010593,649_12,5,3,624123,,,,,,
624123,3.506,3.574,0.068,5,0.430736052,0.956010593,0.430746746,0.956010919,649_13,5,3,624123,,,,,,
624123,3.574,3.647,0.073,5,0.430746746,0.956010919,0.430758257,0.956011273,649_14,5,3,624123,,,,,,
624123,3.647,3.718,0.071,5,0.430758257,0.956011273,0.430769462,0.956011613,649_15,5,3,624123,,,,,,
624123,3.718,4.063,0.345,5,0.430769462,0.956011613,0.430821892,0.956024144,649_16,5,3,624123,,,,,,
624124,0,0.476,0.476,5,0.430274984,0.955695926,0.430336765,0.955742455,649_1,5,4,624124,,,,,,
624124,0.476,0.821,0.345,5,0.430336765,0.955742455,0.430381512,0.955776168,649_2,5,4,624124,,,,,,
624124,0.821,1.154,0.333,5,0.430381512,0.955776168,0.430424675,0.955808691,649_3,5,4,624124,,,,,,
624124,1.154,1.232,0.078,5,0.430424675,0.955808691,0.430434733,0.955816274,649_4,5,4,624124,,,,,,
624124,1.232,1.612,0.38,5,0.430434733,0.955816274,0.430484076,0.955853464,649_5,5,4,624124,,,,,,
624124,1.612,2.036,0.424,5,0.430484076,0.955853464,0.430538504,0.955895878,649_6,5,4,624124,,,,,,
624124,2.036,2.299,0.263,5,0.430538504,0.955895878,0.4305713,0.955923526,649_7,5,4,624124,,,,,,
624124,2.299,2.561,0.262,5,0.4305713,0.955923526,0.430603968,0.95595108,649_8,5,4,624124,,,,,,
624124,2.561,2.976,0.415,5,0.430603968,0.95595108,0.430655837,0.955994762,649_9,5,4,624124,,,,,,
624124,2.976,3.36,0.384,5,0.430655837,0.955994762,0.430713127,0.956009914,649_10,5,4,624124,,,,,,
624124,3.36,3.435,0.075,5,0.430713127,0.956009914,0.430724908,0.956010273,649_11,5,4,624124,,,,,,
624124,3.435,3.506,0.071,5,0.430724908,0.956010273,0.430736052,0.956010593,649_12,5,4,624124,,,,,,
624124,3.506,3.574,0.068,5,0.430736052,0.956010593,0.430746746,0.956010919,649_13,5,4,624124,,,,,,
624124,3.574,3.647,0.073,5,0.430746746,0.956010919,0.430758257,0.956011273,649_14,5,4,624124,,,,,,
624124,3.647,3.718,0.071,5,0.430758257,0.956011273,0.430769462,0.956011613,649_15,5,4,624124,,,,,,
624124,3.718,4.063,0.345,5,0.430769462,0.956011613,0.430821892,0.956024144,649_16,5,4,624124,,,,,,
624230,0,0.262,0.262,5,0.4305511,0.95587797,0.430583801,0.955905427,650_1,5,1,624230,,,,,,
624230,0.262,0.525,0.263,5,0.430583801,0.955905427,0.430616637,0.955933119,650_2,5,1,624230,,,,,,
624230,0.525,0.94,0.415,5,0.430616637,0.955933119,0.430668446,0.955976799,650_3,5,1,624230,,,,,,
624232,0,0.262,0.262,5,0.4305511,0.95587797,0.430583801,0.955905427,650_1,5,2,624232,,,,,,
624232,0.262,0.525,0.263,5,0.430583801,0.955905427,0.430616637,0.955933119,650_2,5,2,624232,,,,,,
624232,0.525,0.94,0.415,5,0.430616637,0.955933119,0.430668446,0.955976799,650_3,5,2,624232,,,,,,
624233,0,0.262,0.262,5,0.4305511,0.95587797,0.430583801,0.955905427,650_1,5,3,624233,,,,,,
624233,0.262,0.525,0.263,5,0.430583801,0.955905427,0.430616637,0.955933119,650_2,5,3,624233,,,,,,
624233,0.525,0.94,0.415,5,0.430616637,0.955933119,0.430668446,0.955976799,650_3,5,3,624233,,,,,,
624234,0,0.262,0.262,5,0.4305511,0.95587797,0.430583801,0.955905427,650_1,5,4,624234,,,,,,
624234,0.262,0.525,0.263,5,0.430583801,0.955905427,0.430616637,0.955933119,650_2,5,4,624234,,,,,,
624234,0.525,0.94,0.415,5,0.430616637,0.955933119,0.430668446,0.955976799,650_3,5,4,624234,,,,,,
624500,0,0.303,0.303,5,0.43052846,0.955783352,0.430505716,0.95574957,651-1_1,5,1,624500,,,,,,
624500,0.303,0.421,0.118,5,0.430505716,0.95574957,0.430490404,0.955738023,651-1_2,5,1,624500,,,,,,
624500,0.421,0.646,0.225,5,0.430490404,0.955738023,0.43046519,0.955744157,651-1_3,5,1,624500,,,,,,
624500,0.646,0.757,0.111,5,0.43046519,0.955744157,0.430479631,0.955755043,651-1_4,5,1,624500,,,,,,
624500,0.757,0.875,0.118,5,0.430479631,0.955755043,0.430494978,0.955766608,651-1_5,5,1,624500,,,,,,
